"Region_code_9_digit","Region_code","Region_name","LAD_code_9_digit","LAD_code","LAD_name","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000007","H","London","E09000014","00AP","Haringey",2326,1934,1459,2217,"2189",1479,849,571
"E12000007","H","London","E09000019","00AU","Islington",1411,1135,888,1358,"1344",904,595,384
"E12000007","H","London","E09000020","00AW","Kensington and Chelsea",555,491,404,533,"524",406,257,190
"E12000007","H","London","E09000022","00AY","Lambeth",2289,1971,1469,2198,"2163",1501,991,590
"E12000007","H","London","E09000023","00AZ","Lewisham",2771,2276,1700,2633,"2574",1726,950,633
"E12000007","H","London","E09000025","00BB","Newham",3449,2742,2039,3332,"3267",2066,1246,804
"E12000007","H","London","E09000028","00BE","Southwark",2378,2034,1575,2283,"2258",1609,972,578
"E12000007","H","London","E09000030","00BG","Tower Hamlets",2329,1986,1498,2268,"2203",1504,902,560
"E12000007","H","London","E09000032","00BJ","Wandsworth",1723,1462,1082,1653,"1645",1101,870,546
"E12000007","H","London","E09000033","00BK","Westminster",1117,964,768,1090,"1078",781,504,335
"E12000007","H","London","E09000002","00AB","Barking and Dagenham",2482,2034,1504,2349,"2299",1523,616,376
"E12000007","H","London","E09000003","00AC","Barnet",3298,2863,2384,3192,"3140",2396,1693,1327
"E12000007","H","London","E09000004","00AD","Bexley",2836,2523,1860,2750,"2706",1869,1067,785
"E12000007","H","London","E09000005","00AE","Brent",3031,2468,1889,2917,"2866",1917,1430,945
"E12000007","H","London","E09000006","00AF","Bromley",3254,3014,2454,3177,"3142",2474,1556,1120
"E12000007","H","London","E09000008","00AH","Croydon",4008,3432,2613,3856,"3792",2645,1714,1037
"E12000007","H","London","E09000009","00AJ","Ealing",3177,2621,2032,3080,"3024",2059,1563,1035
"E12000007","H","London","E09000010","00AK","Enfield",3825,3160,2422,3679,"3605",2471,1740,1098
"E12000007","H","London","E09000011","00AL","Greenwich",2509,2224,1635,2431,"2393",1649,963,642
"E12000007","H","London","E09000015","00AQ","Harrow",2540,2160,1781,2474,"2451",1804,1366,931
"E12000007","H","London","E09000016","00AR","Havering",2860,2304,1834,2782,"2752",1879,1219,697
"E12000007","H","London","E09000017","00AS","Hillingdon",3115,2699,1967,3007,"2968",1981,1141,780
"E12000007","H","London","E09000018","00AT","Hounslow",2619,2213,1652,2526,"2493",1668,1315,827
"E12000007","H","London","E09000021","00AX","Kingston upon Thames",1393,1211,972,1339,"1327",979,745,534
"E12000007","H","London","E09000024","00BA","Merton",1766,1532,1186,1693,"1654",1198,872,623
"E12000007","H","London","E09000026","00BC","Redbridge",3355,2907,2349,3246,"3191",2363,1442,1116
"E12000007","H","London","E09000027","00BD","Richmond upon Thames",1146,1005,866,1108,"1098",869,733,581
"E12000007","H","London","E09000029","00BF","Sutton",2222,1996,1605,2159,"2142",1616,969,760
"E12000007","H","London","E09000031","00BH","Waltham Forest",2741,2183,1631,2674,"2627",1659,887,573
"E12000008","J","South East","E06000036","00MA","Bracknell Forest UA",1189,1064,660,1154,"1035",666,351,254
"E12000008","J","South East","E06000043","00ML","Brighton and Hove UA",2193,1733,1371,2074,"2042",1404,760,533
"E12000008","J","South East","E06000046","00MW","Isle of Wight UA",1475,1012,717,1355,"1338",745,315,149
"E12000008","J","South East","E06000035","00LC","Medway UA",3232,2844,1923,3079,"3017",1933,927,552
"E12000008","J","South East","E06000042","00MG","Milton Keynes UA",2906,2578,1811,2811,"2775",1823,876,515
"E12000008","J","South East","E06000044","00MR","Portsmouth UA",1930,1276,939,1765,"1730",957,639,351
"E12000008","J","South East","E06000038","00MC","Reading UA",1471,1226,842,1414,"1376",852,417,305
"E12000008","J","South East","E06000039","00MD","Slough UA",1685,1507,1068,1641,"1622",1075,361,281
"E12000008","J","South East","E06000045","00MS","Southampton UA",2197,1792,1263,2086,"2039",1281,682,375
"E12000008","J","South East","E06000037","00MB","West Berkshire UA",1684,1293,1050,1632,"1606",1065,789,505
"E12000008","J","South East","E06000040","00ME","Windsor and Maidenhead UA",1368,1221,1003,1333,"1321",1014,689,511
"E12000008","J","South East","E06000041","00MF","Wokingham UA",1665,1467,1247,1623,"1614",1266,667,547
"E12000008","J","South East","E07000004","11UB","Aylesbury Vale",1992,1648,1304,1917,"1896",1320,726,562
"E12000008","J","South East","E07000005","11UC","Chiltern",1061,941,810,1037,"1031",816,419,345
"E12000008","J","South East","E07000006","11UE","South Bucks",685,571,520,669,"665",528,342,276
"E12000008","J","South East","E07000007","11UF","Wycombe",1850,1537,1279,1793,"1779",1298,763,626
"E12000008","J","South East","E07000061","21UC","Eastbourne",1026,891,605,979,"952",607,243,166
"E12000008","J","South East","E07000062","21UD","Hastings",1046,849,516,983,"951",526,187,125
"E12000008","J","South East","E07000063","21UF","Lewes",1001,809,627,967,"956",631,329,216
"E12000008","J","South East","E07000064","21UG","Rother",929,730,567,888,"867",584,295,199
"E12000008","J","South East","E07000065","21UH","Wealden",1491,1296,1041,1426,"1411",1048,571,395
"E12000008","J","South East","E07000084","24UB","Basingstoke and Deane",1847,1417,1031,1761,"1733",1042,619,408
"E12000008","J","South East","E07000085","24UC","East Hampshire",1209,1057,783,1171,"1155",786,494,342
"E12000008","J","South East","E07000086","24UD","Eastleigh",1423,1172,908,1368,"1363",916,479,367
"E12000008","J","South East","E07000087","24UE","Fareham",1175,945,775,1141,"1134",789,509,312
"E12000008","J","South East","E07000088","24UF","Gosport",878,687,438,842,"825",445,183,107
"E12000008","J","South East","E07000089","24UG","Hart",966,829,703,948,"941",708,538,396
"E12000008","J","South East","E07000090","24UH","Havant",1314,1000,636,1246,"1233",648,295,182
"E12000008","J","South East","E07000091","24UJ","New Forest",1752,1313,1034,1672,"1641",1056,721,425
"E12000008","J","South East","E07000092","24UL","Rushmoor",983,712,491,938,"920",495,373,196
"E12000008","J","South East","E07000093","24UN","Test Valley",1272,993,801,1219,"1203",816,491,369
"E12000008","J","South East","E07000094","24UP","Winchester",1139,939,797,1114,"1106",807,535,407
"E12000008","J","South East","E07000105","29UB","Ashford",1428,1212,839,1375,"1345",843,526,349
"E12000008","J","South East","E07000106","29UC","Canterbury",1497,1264,896,1427,"1407",906,592,344
"E12000008","J","South East","E07000107","29UD","Dartford",1124,995,767,1086,"1076",772,475,289
"E12000008","J","South East","E07000108","29UE","Dover",1285,1037,684,1214,"1185",696,373,263
"E12000008","J","South East","E07000109","29UG","Gravesham",1258,1106,813,1210,"1194",816,420,279
"E12000008","J","South East","E07000110","29UH","Maidstone",1622,1475,1093,1573,"1556",1094,698,481
